Race,Target,Feature,Model,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Other Hispanic,Has_Hypertension,Smoke_Freq,RF,21.7,0.45825756949558394,21,22,0.0
Other Hispanic,Has_Hypertension,Alc_Freq,RF,10.6,0.4898979485566356,10,11,0.0
Other Hispanic,Has_Hypertension,Alc_Amt,RF,21.3,0.45825756949558394,21,22,0.0
Other Hispanic,Has_Hypertension,HbA1c,RF,2.3,0.6403124237432849,1,3,1.0
Other Hispanic,Has_Hypertension,Cholesterol,RF,8.9,0.3,8,9,0.0
Other Hispanic,Has_Hypertension,HDL,RF,10.6,0.66332495807108,10,12,0.0
Other Hispanic,Has_Hypertension,Sys_BP,RF,2.0,0.7745966692414834,1,3,1.0
Other Hispanic,Has_Hypertension,Dia_BP,RF,6.4,0.66332495807108,6,8,0.0
Other/Multi-racial,Has_Hypertension,Gender,RF,20.1,0.7,19,21,0.0
Other/Multi-racial,Has_Hypertension,Race,RF,23.0,0.0,23,23,0.0
Other/Multi-racial,Has_Hypertension,Income_Ratio,RF,3.8,1.2489995996796797,2,5,0.5
Other/Multi-racial,Has_Hypertension,BMI,RF,3.8,1.32664991614216,2,6,0.4
Other/Multi-racial,Has_Hypertension,Mod_Activity,RF,1.0,0.0,1,1,1.0
Other/Multi-racial,Has_Hypertension,Vig_Activity,RF,5.4,1.019803902718557,4,7,0.0
Other/Multi-racial,Has_Hypertension,Calories,RF,18.2,2.181742422927143,15,22,0.0
Other/Multi-racial,Has_Hypertension,Sodium,RF,14.9,1.8681541692269403,12,18,0.0
Other/Multi-racial,Has_Hypertension,Carbs,RF,15.3,2.9,12,20,0.0
Other/Multi-racial,Has_Hypertension,Fat,RF,15.9,2.8442925306655784,12,21,0.0
Other/Multi-racial,Has_Hypertension,Sat_Fat,RF,16.2,2.5612496949731396,11,21,0.0
Other/Multi-racial,Has_Hypertension,Sugar,RF,13.1,1.445683229480096,12,16,0.0
Other/Multi-racial,Has_Hypertension,Fiber,RF,15.9,2.211334438749598,12,19,0.0
Other/Multi-racial,Has_Hypertension,Protein,RF,16.2,1.8867962264113207,14,20,0.0
Other/Multi-racial,Has_Hypertension,Ever_Smoked,RF,9.5,1.6278820596099706,8,13,0.0
Other/Multi-racial,Has_Hypertension,Smoke_Freq,RF,19.3,2.147091055358389,15,22,0.0
Other/Multi-racial,Has_Hypertension,Alc_Freq,RF,9.6,0.8,8,11,0.0
Other/Multi-racial,Has_Hypertension,Alc_Amt,RF,21.7,0.6403124237432849,20,22,0.0
Other/Multi-racial,Has_Hypertension,HbA1c,RF,3.1,1.1357816691600549,2,5,0.7
Other/Multi-racial,Has_Hypertension,Cholesterol,RF,9.9,1.1357816691600546,8,11,0.0
Other/Multi-racial,Has_Hypertension,HDL,RF,9.2,1.0770329614269007,8,11,0.0
Other/Multi-racial,Has_Hypertension,Sys_BP,RF,4.0,1.4142135623730951,2,6,0.4
Other/Multi-racial,Has_Hypertension,Dia_BP,RF,6.9,0.3,6,7,0.0
