Race,Target,Feature,LR_Mean_Rank,LR_Std_Rank,RF_Mean_Rank,RF_Std_Rank,Rank_Diff,LR_Top_3_Freq,RF_Top_3_Freq
Non-Hispanic White,Has_Hypertension,Income_Ratio,18.5,1.6881943016134133,3.3,0.45825756949558405,15.2,0.0,0.7
Non-Hispanic White,Has_Hypertension,Mod_Activity,15.4,2.0099751242241783,1.2,0.4,14.200000000000001,0.0,1.0
Non-Hispanic White,Has_Hypertension,Vig_Activity,18.4,4.2708313008125245,6.0,0.0,12.399999999999999,0.0,0.0
Non-Hispanic White,Has_Hypertension,Carbs,5.5,0.6708203932499369,15.0,1.0,9.5,0.0,0.0
Non-Hispanic White,Has_Hypertension,Smoke_Freq,13.7,2.5317977802344327,22.0,0.0,8.3,0.0,0.0
Non-Hispanic White,Has_Hypertension,Fat,9.3,1.1,17.5,0.6708203932499369,8.2,0.0,0.0
Non-Hispanic White,Has_Hypertension,Fiber,16.1,3.269556544854363,11.8,1.2489995996796797,4.300000000000001,0.0,0.0
Non-Hispanic White,Has_Hypertension,Protein,9.3,1.1874342087037917,13.6,1.8547236990991407,4.299999999999999,0.0,0.0
Non-Hispanic White,Has_Hypertension,Ever_Smoked,3.8,0.7483314773547882,7.9,0.8306623862918076,4.1000000000000005,0.4,0.0
Non-Hispanic White,Has_Hypertension,HDL,12.7,1.1874342087037917,10.0,0.0,2.6999999999999993,0.0,0.0
Non-Hispanic White,Has_Hypertension,Alc_Freq,15.6,2.3748684174075834,13.0,1.8439088914585775,2.5999999999999996,0.0,0.0
Non-Hispanic White,Has_Hypertension,Sat_Fat,19.2,1.8867962264113207,16.9,1.3,2.3000000000000007,0.0,0.0
Non-Hispanic White,Has_Hypertension,BMI,2.0,0.0,3.9,0.7,1.9,1.0,0.3
Non-Hispanic White,Has_Hypertension,Sodium,16.7,2.685144316419511,15.2,1.661324772583615,1.5,0.0,0.0
Non-Hispanic White,Has_Hypertension,Alc_Amt,20.0,2.4083189157584592,21.0,0.0,1.0,0.0,0.0
Non-Hispanic White,Has_Hypertension,Gender,19.0,1.6733200530681511,20.0,0.0,1.0,0.0,0.0
Non-Hispanic White,Has_Hypertension,Cholesterol,7.5,0.5,8.4,0.8,0.9000000000000004,0.0,0.0
Non-Hispanic White,Has_Hypertension,Sugar,12.3,1.9000000000000001,13.2,1.32664991614216,0.8999999999999986,0.0,0.0
Non-Hispanic White,Has_Hypertension,Sys_BP,1.0,0.0,1.8,0.4,0.8,1.0,1.0
Non-Hispanic White,Has_Hypertension,Dia_BP,8.3,1.1874342087037917,7.7,0.6403124237432849,0.6000000000000005,0.0,0.0
Non-Hispanic White,Has_Hypertension,HbA1c,5.3,0.6403124237432849,4.8,0.39999999999999997,0.5,0.0,0.0
Non-Hispanic White,Has_Hypertension,Race,23.0,0.0,23.0,0.0,0.0,0.0,0.0
Other Hispanic,Has_Diabetes,Mod_Activity,19.0,1.0954451150103321,2.0,0.0,17.0,0.0,1.0
Other Hispanic,Has_Diabetes,Alc_Amt,6.5,5.6258332716140815,21.2,0.6,14.7,0.6,0.0
Other Hispanic,Has_Diabetes,Income_Ratio,18.2,1.7776388834631178,5.3,0.45825756949558405,12.899999999999999,0.0,0.0
Other Hispanic,Has_Diabetes,Smoke_Freq,10.9,4.036087214122113,21.3,1.4866068747318506,10.4,0.0,0.0
Other Hispanic,Has_Diabetes,Vig_Activity,16.8,7.6131465242697125,7.4,1.1135528725660042,9.4,0.2,0.0
Other Hispanic,Has_Diabetes,Gender,8.7,4.124318125460256,16.7,3.195309061734091,8.0,0.0,0.0
Other Hispanic,Has_Diabetes,Fat,8.5,5.5901699437494745,16.0,2.7202941017470885,7.5,0.3,0.0
Other Hispanic,Has_Diabetes,Alc_Freq,11.1,2.3853720883753127,18.5,1.8027756377319946,7.4,0.0,0.0
Other Hispanic,Has_Diabetes,Sys_BP,8.3,3.606937759374287,3.0,0.0,5.300000000000001,0.0,1.0
Other Hispanic,Has_Diabetes,Sat_Fat,10.1,4.060788100849391,13.4,2.3323807579381204,3.3000000000000007,0.0,0.0
Other Hispanic,Has_Diabetes,Calories,11.6,5.180733538795447,14.5,2.8722813232690143,2.9000000000000004,0.1,0.0
Other Hispanic,Has_Diabetes,Sugar,16.1,4.1340053217188775,13.3,1.3453624047073711,2.8000000000000007,0.0,0.0
Other Hispanic,Has_Diabetes,Carbs,10.8,4.686149805543993,13.4,2.1071307505705477,2.5999999999999996,0.1,0.0
Other Hispanic,Has_Diabetes,Cholesterol,10.9,2.981610303175115,8.3,0.9,2.5999999999999996,0.0,0.0
Other Hispanic,Has_Diabetes,Ever_Smoked,8.0,3.1937438845342623,5.4,1.1135528725660042,2.5999999999999996,0.2,0.0
Other Hispanic,Has_Diabetes,Sodium,18.5,2.5787593916455256,16.1,2.3853720883753127,2.3999999999999986,0.0,0.0
Other Hispanic,Has_Diabetes,Protein,17.7,4.980963762164908,16.5,2.5,1.1999999999999993,0.0,0.0
Other Hispanic,Has_Diabetes,HDL,11.0,5.079370039680118,9.9,0.3,1.0999999999999996,0.0,0.0
Other Hispanic,Has_Diabetes,BMI,3.7,0.7810249675906654,4.5,0.806225774829855,0.7999999999999998,0.5,0.0
Other Hispanic,Has_Diabetes,Fiber,17.8,2.6758176320519302,17.1,2.071231517720798,0.6999999999999993,0.0,0.0
Other Hispanic,Has_Diabetes,Dia_BP,7.8,3.4,8.2,0.6,0.39999999999999947,0.0,0.0
Other Hispanic,Has_Diabetes,HbA1c,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Other Hispanic,Has_Diabetes,Race,23.0,0.0,23.0,0.0,0.0,0.0,0.0
Other Hispanic,Has_Hypertension,Income_Ratio,19.3,2.193171219946131,4.8,0.39999999999999997,14.5,0.0,0.0
Other Hispanic,Has_Hypertension,Alc_Amt,8.3,5.9,21.3,0.45825756949558394,13.0,0.3,0.0
Other Hispanic,Has_Hypertension,Calories,4.1,1.8681541692269403,16.0,2.0,11.9,0.4,0.0
Other Hispanic,Has_Hypertension,Dia_BP,15.3,3.606937759374287,6.4,0.66332495807108,8.9,0.0,0.0
Other Hispanic,Has_Hypertension,Cholesterol,17.3,2.72213151776324,8.9,0.3,8.4,0.0,0.0
Other Hispanic,Has_Hypertension,Mod_Activity,9.8,1.4,1.7,0.9,8.100000000000001,0.0,1.0
Other Hispanic,Has_Hypertension,Protein,7.9,2.8442925306655784,15.2,2.1354156504062622,7.299999999999999,0.0,0.0
Other Hispanic,Has_Hypertension,Vig_Activity,13.9,3.8587562763149474,7.4,0.4898979485566356,6.5,0.0,0.0
Other Hispanic,Has_Hypertension,HDL,16.8,3.7629775444453557,10.6,0.66332495807108,6.200000000000001,0.0,0.0
