Race,Target,Feature,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Other Hispanic,Has_Diabetes,Sedentary_Behavior,16.8,7.613146524269712,2,22,0.2
Other Hispanic,Has_Diabetes,Protein,17.7,4.980963762164908,6,22,0.0
Other Hispanic,Has_Diabetes,Fiber,17.8,2.6758176320519302,14,22,0.0
Other Hispanic,Has_Diabetes,Income_Ratio,18.2,1.7776388834631178,16,21,0.0
Other Hispanic,Has_Diabetes,Sodium,18.5,2.5787593916455256,13,22,0.0
Other Hispanic,Has_Diabetes,Sedentary_Behavior,19.0,1.095445115010332,17,21,0.0
Other Hispanic,Has_Diabetes,Race,23.0,0.0,23,23,0.0
Other Hispanic,Has_Hypertension,Sys_BP,1.2,0.4,1,2,1.0
Other Hispanic,Has_Hypertension,BMI,2.8,0.6,2,4,0.9
Other Hispanic,Has_Hypertension,HbA1c,4.0,1.3416407864998738,2,6,0.3
Other Hispanic,Has_Hypertension,Calories,4.1,1.8681541692269403,1,8,0.4
Other Hispanic,Has_Hypertension,Ever_Smoked,4.6,1.42828568570857,1,6,0.1
Other Hispanic,Has_Hypertension,Protein,7.9,2.8442925306655784,6,16,0.0
Other Hispanic,Has_Hypertension,Alc_Amt,8.3,5.9,2,19,0.3
Other Hispanic,Has_Hypertension,Carbs,8.5,3.138470965295043,5,17,0.0
Other Hispanic,Has_Hypertension,Alc_Freq,9.7,1.9519221295943128,7,14,0.0
Other Hispanic,Has_Hypertension,Sedentary_Behavior,9.8,1.4,7,12,0.0
Other Hispanic,Has_Hypertension,Sat_Fat,12.7,4.220189569201838,7,20,0.0
Other Hispanic,Has_Hypertension,Sedentary_Behavior,13.9,3.858756276314947,4,20,0.0
Other Hispanic,Has_Hypertension,Gender,14.0,2.32379000772445,11,18,0.0
Other Hispanic,Has_Hypertension,Sodium,14.7,3.661966684720111,9,20,0.0
Other Hispanic,Has_Hypertension,Dia_BP,15.3,3.606937759374287,9,21,0.0
Other Hispanic,Has_Hypertension,Fat,15.5,4.006245124802026,9,22,0.0
Other Hispanic,Has_Hypertension,Sugar,15.7,4.001249804748512,9,22,0.0
Other Hispanic,Has_Hypertension,HDL,16.8,3.762977544445356,12,22,0.0
Other Hispanic,Has_Hypertension,Cholesterol,17.3,2.72213151776324,13,22,0.0
Other Hispanic,Has_Hypertension,Fiber,18.3,3.8483762809787714,11,22,0.0
Other Hispanic,Has_Hypertension,Smoke_Freq,18.6,3.411744421846396,10,22,0.0
Other Hispanic,Has_Hypertension,Income_Ratio,19.3,2.193171219946131,15,22,0.0
Other Hispanic,Has_Hypertension,Race,23.0,0.0,23,23,0.0
Other/Multi-racial,Has_Diabetes,HbA1c,1.0,0.0,1,1,1.0
Other/Multi-racial,Has_Diabetes,Gender,4.8,1.6,3,8,0.3
Other/Multi-racial,Has_Diabetes,Sedentary_Behavior,4.9,3.3000000000000003,2,12,0.5
Other/Multi-racial,Has_Diabetes,Ever_Smoked,6.1,5.974110812497539,2,21,0.5
Other/Multi-racial,Has_Diabetes,Fat,6.3,4.62709412050371,2,17,0.3
Other/Multi-racial,Has_Diabetes,HDL,8.8,1.98997487421324,6,12,0.0
Other/Multi-racial,Has_Diabetes,Cholesterol,9.8,3.515679166249389,6,18,0.0
Other/Multi-racial,Has_Diabetes,Sodium,10.6,3.852272056851645,6,19,0.0
Other/Multi-racial,Has_Diabetes,Sat_Fat,11.1,5.430469592954186,3,22,0.1
