Race,Target,Feature,Readable_Feature,Coefficient,Abs_Coefficient,ROC_AUC,PR_AUC,N_Samples,Rank
Mexican American,Has_Hypertension,ALQ130,Alc_Amt,-0.32479705403997927,0.32479705403997927,0.8265282131661442,0.5172691704839404,1117,8.0
Mexican American,Has_Hypertension,LBXGH,HbA1c,0.34936819144044867,0.34936819144044867,0.8265282131661442,0.5172691704839404,1117,7.0
Mexican American,Has_Hypertension,LBXTC,Cholesterol,-0.23824172951605485,0.23824172951605485,0.8265282131661442,0.5172691704839404,1117,10.0
Mexican American,Has_Hypertension,LBDHDD,HDL,-0.010901291112859576,0.010901291112859576,0.8265282131661442,0.5172691704839404,1117,22.0
Mexican American,Has_Hypertension,BPXOSY1,Sys_BP,0.8289620750517416,0.8289620750517416,0.8265282131661442,0.5172691704839404,1117,2.0
Mexican American,Has_Hypertension,BPXODI1,Dia_BP,-0.09287369578017467,0.09287369578017467,0.8265282131661442,0.5172691704839404,1117,16.0
Non-Hispanic Asian,Has_Hypertension,RIAGENDR,Gender,0.27775449502640565,0.27775449502640565,0.8021266013361832,0.5710087928471742,680,7.0
Non-Hispanic Asian,Has_Hypertension,INDFMPIR,Income_Ratio,-0.010259900157794093,0.010259900157794093,0.8021266013361832,0.5710087928471742,680,22.0
Non-Hispanic Asian,Has_Hypertension,BMXBMI,BMI,0.5601064566548203,0.5601064566548203,0.8021266013361832,0.5710087928471742,680,2.0
Non-Hispanic Asian,Has_Hypertension,PAD680,Mod_Activity,-0.11505975789371072,0.11505975789371072,0.8021266013361832,0.5710087928471742,680,14.0
Non-Hispanic Asian,Has_Hypertension,PAD800,Vig_Activity,0.01810577500298803,0.01810577500298803,0.8021266013361832,0.5710087928471742,680,21.0
Non-Hispanic Asian,Has_Hypertension,DR1TKCAL,Calories,0.4149085836271131,0.4149085836271131,0.8021266013361832,0.5710087928471742,680,3.0
Non-Hispanic Asian,Has_Hypertension,DR1TSODI,Sodium,0.10786573063945377,0.10786573063945377,0.8021266013361832,0.5710087928471742,680,15.0
Non-Hispanic Asian,Has_Hypertension,DR1TCARB,Carbs,-0.34201548092876705,0.34201548092876705,0.8021266013361832,0.5710087928471742,680,5.0
Non-Hispanic Asian,Has_Hypertension,DR1TTFAT,Fat,-0.14890912414330904,0.14890912414330904,0.8021266013361832,0.5710087928471742,680,12.0
Non-Hispanic Asian,Has_Hypertension,DR1TSFAT,Sat_Fat,-0.2738056962823297,0.2738056962823297,0.8021266013361832,0.5710087928471742,680,8.0
Non-Hispanic Asian,Has_Hypertension,DR1TSUGR,Sugar,0.2301489765475729,0.2301489765475729,0.8021266013361832,0.5710087928471742,680,10.0
Non-Hispanic Asian,Has_Hypertension,DR1TFIBE,Fiber,-0.06329412312711527,0.06329412312711527,0.8021266013361832,0.5710087928471742,680,17.0
Non-Hispanic Asian,Has_Hypertension,DR1TPROT,Protein,0.03206561732660868,0.03206561732660868,0.8021266013361832,0.5710087928471742,680,19.0
Non-Hispanic Asian,Has_Hypertension,SMQ020,Ever_Smoked,-0.3700117594088418,0.3700117594088418,0.8021266013361832,0.5710087928471742,680,4.0
Non-Hispanic Asian,Has_Hypertension,SMQ040,Smoke_Freq,0.23234574600592295,0.23234574600592295,0.8021266013361832,0.5710087928471742,680,9.0
Non-Hispanic Asian,Has_Hypertension,ALQ121,Alc_Freq,0.02873447334385515,0.02873447334385515,0.8021266013361832,0.5710087928471742,680,20.0
Non-Hispanic Asian,Has_Hypertension,ALQ130,Alc_Amt,0.18086172993448477,0.18086172993448477,0.8021266013361832,0.5710087928471742,680,11.0
Non-Hispanic Asian,Has_Hypertension,LBXGH,HbA1c,0.3285578533149715,0.3285578533149715,0.8021266013361832,0.5710087928471742,680,6.0
Non-Hispanic Asian,Has_Hypertension,LBXTC,Cholesterol,-0.10113718352539812,0.10113718352539812,0.8021266013361832,0.5710087928471742,680,16.0
Non-Hispanic Asian,Has_Hypertension,LBDHDD,HDL,-0.03939914323469943,0.03939914323469943,0.8021266013361832,0.5710087928471742,680,18.0
Non-Hispanic Asian,Has_Hypertension,BPXOSY1,Sys_BP,1.2689794074097012,1.2689794074097012,0.8021266013361832,0.5710087928471742,680,1.0
Non-Hispanic Asian,Has_Hypertension,BPXODI1,Dia_BP,-0.1356724738903656,0.1356724738903656,0.8021266013361832,0.5710087928471742,680,13.0
Non-Hispanic Black,Has_Hypertension,RIAGENDR,Gender,0.28583302851193404,0.28583302851193404,0.8206818909838569,0.6531249905804966,1596,6.0
Non-Hispanic Black,Has_Hypertension,INDFMPIR,Income_Ratio,0.15019714732110806,0.15019714732110806,0.8206818909838569,0.6531249905804966,1596,12.0
Non-Hispanic Black,Has_Hypertension,BMXBMI,BMI,0.6183011178014125,0.6183011178014125,0.8206818909838569,0.6531249905804966,1596,2.0
Non-Hispanic Black,Has_Hypertension,PAD680,Mod_Activity,0.280751198516273,0.280751198516273,0.8206818909838569,0.6531249905804966,1596,7.0
Non-Hispanic Black,Has_Hypertension,PAD800,Vig_Activity,-0.03999668329884326,0.03999668329884326,0.8206818909838569,0.6531249905804966,1596,20.0
Non-Hispanic Black,Has_Hypertension,DR1TKCAL,Calories,0.02382218861143345,0.02382218861143345,0.8206818909838569,0.6531249905804966,1596,22.0
Non-Hispanic Black,Has_Hypertension,DR1TSODI,Sodium,0.2437008867018754,0.2437008867018754,0.8206818909838569,0.6531249905804966,1596,8.0
Non-Hispanic Black,Has_Hypertension,DR1TCARB,Carbs,-0.42493815133331175,0.42493815133331175,0.8206818909838569,0.6531249905804966,1596,4.0
Non-Hispanic Black,Has_Hypertension,DR1TTFAT,Fat,-0.02981782818823138,0.02981782818823138,0.8206818909838569,0.6531249905804966,1596,21.0
Non-Hispanic Black,Has_Hypertension,DR1TSFAT,Sat_Fat,-0.13281250165532563,0.13281250165532563,0.8206818909838569,0.6531249905804966,1596,13.0
Non-Hispanic Black,Has_Hypertension,DR1TSUGR,Sugar,0.2172588414936144,0.2172588414936144,0.8206818909838569,0.6531249905804966,1596,9.0
